ID,Date,Text
-17568841,2019-12-24T09:00:07.000Z,На этой неделе в прокат выходит новый громкий кинопроект Константина Эрнста и продюсера Анатолия Максимова. Это «Союз спасения» — исторический эпос о декабристах в роковом 1825 году. Что там действительно актуального о чем кино и для кого рассказал Денис Катаев который уже успел посмотреть фильм
-17568841,2019-12-24T08:42:05.000Z,Владимир Колокольцев поручил уволить сотрудников МВД в Татарстане которые организовали учения по разгону митинга в одной из школ региона:
-17568841,2019-12-24T08:24:05.000Z,Власти Москвы отказались от строительства 72-этажного дома в рамках программы реновации. Проектировщики учли мнение местных жителей и уменьшили этажность дома вдвое
-17568841,2019-12-24T08:02:06.000Z,В 2017 году в бельгийском Генте внезапно открылась выставка русского авангарда коллекционеров Топоровских в которую вошло 24 произведения известных авторов. Эти работы раньше нигде не выставлялись а вся информация о них была доступна лишь самим владельцам картин. В итоге мировая общественность пришла к выводу что вся выставка — фейк. Спустя два года расследований скандалов и разбирательств владельцы коллекции оказались под арестом — их подозревают в мошенничестве отмывании денег и торговле краденым. Специалист по русском авангарду Андрей Сарабьянов рассказывает как чете Топоровских почти удалось обмануть весь мир:
-17568841,2019-12-24T07:29:04.000Z,Минюст «полностью поддерживает» законопроект о профилактике семейно-бытового насилия хотя еще в ноябре замглавы ведомства Михаил Гальперин заявлял что проблема домашнего насилия в стране «достаточно преувеличена»
-17568841,2019-12-24T07:01:05.000Z,Откуда у монаха взялся миллион долларов чтобы купить себе двухуровневый пентхаус с бассейном и площадкой для барбекю в Испании? Разбираемся как идут дела у главы Отдела внешних церковных связей РПЦ
-17568841,2019-12-24T06:40:12.000Z,Правительство изменило правила сдачи экзамена на водительские права. С октября 2020 года появится получасовой практический экзамен объединяющий в себе этапы «площадка» и «город». Некоторые изменения в правилах вступят в силу уже с 1 января
-17568841,2019-12-24T06:17:40.000Z,Полицейские задержали бывшего фигуранта «московского дела» Сергея Фомина. Его везут в ОВД «Пресня» чтобы составить административный протокол о нарушении правил проведения митинга
-17568841,2019-12-24T06:17:34.000Z,Полицейские задержали бывшего фигуранта «московского дела» Сергея Фомина. Его везут в ОВД «Пресня» чтобы составить административный протокол о нарушении правил проведения митинга
-17568841,2019-12-24T05:59:06.000Z,В Татарстане девятиклассники стали невольными участниками учений полиции причем выступали они в роли протестующих которым заламывали руки и валили на землю. МВД утверждает что никто не пострадал вот только дети рассказали нам о реальных побоях
-17568841,2019-12-24T05:43:21.000Z,Сотрудники полиции вечером 23 декабря пришли к жительнице села Новотроицкое в Татарстане Екатерине Пантелеевой которая опубликовала видео с учениями МВД по разгону митингу проходивших с участием школьников. Они попросили девушку написать объяснительную о том откуда она взяла видео и кто попросил его опубликовать
-17568841,2019-12-24T05:27:03.000Z,В Комсомольске-на-Амуре во время испытательного полета разбился истребитель Су-57
-17568841,2019-12-24T05:02:05.000Z,Сюжет «Спящей красавицы» — один из древнейших в мировой литературе. И посвящён он  не чистой любви как можно было бы подумать а мужской красоте. Дмитрий Макаров рассказывает о разных вариантах и скрытых смыслах этой сказки
-17568841,2019-12-24T03:01:04.000Z,Новость для поклонников советской мультипликации: спустя 50 лет все-таки вышла финальная третья серия «Умки»
-17568841,2019-12-24T01:01:05.000Z,Владимир Путин уже давно в космосе а Меркель Трамп Джонсон и Лукашенко — в коммунальной квартире. Новый выпуск «Заповедника»:
-17568841,2019-12-23T23:01:04.000Z,Спецназ в полном обмундировании и с щитами в спортивном зале показывает как бить протестующих. Так прошло посвящение в кадеты в Челябинской области
-17568841,2019-12-23T21:59:07.000Z,Прямая линия Кадырова шутки про Ротенберга от Путина и планы пересадить чиновников на такси. Подводим итоги дня с Анной Монгайт
