ID,Text,Date
78242229,Самолет Superjet New создадут к 2024 году. Планируется что доля российских компонентов в новой модели будет составлять до 60%.  Авиакомпании которые пользуются первой версией гражданского лайнера разработанного в России с нуля жалуются на сложности с его эксплуатацией: низкий налет малый ресурс двигателя и долгую поставку деталей. Это заставило отказаться от самолета всех иностранных заказчиков,2019-12-23T07:32:47.000Z
78242229,Все новости на 7:40.- В Татарстане полиция провела учения по разгону митингов с участием школьников.- Президент США подписал оборонный бюджет с санкциями против строительства “Северного потока–2”. Прокладка труб приостановлена. Лавров обещает ответные санкции.- На Кубе впервые за 43 года назначен премьер-министр.Подписывайтесь на утреннюю рассылку 7:40 здесь: https://www.currenttime.tv/a/signup-740/29265570.html,2019-12-23T05:40:00.000Z
78242229,Татьяна Рожкова уже 12 лет работает пекарем в селе Шемаха Челябинской области. Там с 1963 года есть пекарня где выпекают хлеб в печи на дровах а тесто замешивают по бабушкиным рецептам: в нем – лишь мука вода дрожжи и соль. Как живут люди в городке в котором из работы только школы и пекарня:,2019-12-22T19:23:00.000Z
78242229,МИД Польши обвинил российские власти в искажении событий Второй мировой войны после высказывания Путина о начале войны:,2019-12-22T18:02:01.000Z
78242229,Украинский селянин купил старую пожарную машину отремонтировал прошел курсы и теперь приезжает тушить огонь в округе быстрее пожарных из города. Стать пожарным – было его мечтой с детства.  Он шутит что должен был купить машину жене а купил людям,2019-12-22T17:01:00.000Z
78242229,"Глава российского МИДа Лавров рассказал что Россия готовит ответ на санкции США из-за ""Северного потока – 2""",2019-12-22T15:49:53.000Z
78242229,"В порт Санкт-Петербурга доставили еще одну крупную партию ядерных отходов из Германии сообщает Greenpeace. По их данным в порту Петербурга на судне ""Михаил Дудин"" находится около 600 тонн урановых ""хвостов""",2019-12-22T13:49:21.000Z
78242229,Истиклол – бывший закрытый город Таджикистана. Его построили и заселили пленные и переселенные немцы которых отправили сюда добывать уран.  Несмотря на повышенный уровень радиации в городе остались местные жители но в основном – таджики. Немцы уехали из Истикола. Ирма – последняя немка в городе. Выжить ей помогают эмигрировавшие в Германию друзья,2019-12-22T13:01:00.000Z
78242229,В Узбекистане сегодня проходят парламентские выборы первые после смерти Ислама Каримова. Независимые эксперты по центральноазиатскому региону отмечают что выбор у жителей небольшой – пять партий представлены в парламенте и придерживаются единой политики по ключевым вопросам и решениям президента Шавката Мерзиёева,2019-12-22T11:51:58.000Z
78242229,Максим из Киева придумал как из отработанной кофейной гущи делать экологичные оправы для очков. “Идея заключается не просто в производстве товаров а в изменении сознания людей в пользу использования натуральных материалов” – говорит он и планирует запустить также производство зубных щеток и чехлов для телефонов,2019-12-22T08:01:00.000Z
78242229,Кто ответственен за самоубийство зачем людям снятся ночные кошмары и можно ли кровь заменить ледяным раствором?,2019-12-22T07:01:00.000Z
78242229,"В Армении освятили самый большой езидский храм в мире. Посетители говорят что он поможет им сохранить национальное сознание и веру. Езиды – курдский субэтнос который перенес множество гонений в прошлом а сейчас подвергается преследованию со стороны ""Исламского государства"". Езиды молятся пять раз в день и первая молитва – за другие народы мира",2019-12-22T06:02:00.000Z
78242229,"""Нет – союзу с агрессором"" ""Ты для нас и гнет и груз на хрен ты и твой союз"" ""Интеграция – это война"".  В Минске прошла четвертая с начала декабря акция протеста против интеграции с Россией",2019-12-21T19:01:00.000Z
78242229,"""Я когда пошел учиться нам говорили: сейчас вот в медицине не очень. Но пока вы доучитесь все наладится все уже будет. Мне уже через 4 года оформлять пенсию. И до сих пор нам говорят: ну сейчас пока еще не очень в медицине но вот сейчас сейчас ща подождите""  Поговорили с самым читаемым фельдшером-блогером в России о том как он завел блог о чем пишет и о работе в ""скорой""",2019-12-21T18:01:00.000Z
78242229,После дискотеки в Апатитах вечером 20 декабря группа подростков избила двоих патрульных. Полицейские получили тяжелые травмы подростки задержаны,2019-12-21T16:59:56.000Z
78242229,"""Газпром"" выплатит ""Нафтогазу"" $29 млрд долга а стороны отзовут все иски поданные друг против друга в Стокгольмский арбитраж. Украина и Россия договорились о транзите газа",2019-12-21T16:01:56.000Z
78242229,"""Ответом ""Аэрофлота"" было: ""К сожалению мест нет"".  За пять лет до полета Нила Армстронга компания Pan American начала предлагать билеты на первый рейс на Луну. В то время космическая лихорадка охватила весь мир. Всего в клуб ""Первые полеты на Луну"" вступило 100 000 человек. Pan Am закрылась в 90-х но обладатели билетов все еще ждут шанса покинуть Землю.  Фильм ""Билет на Луну"" доступен на сайте до 23 декабря: https://www.currenttime.tv/doc",2019-12-21T15:01:00.000Z
78242229,"Оперативник полиции Израиля прокомментировал действия ФСБ во время стрельбы на Лубянке. Он говорит что зачастую вступают в бой и уничтожают террориста обычные постовые или полицейские дорожной службы – до того как подъедут антитеррористический спецназ и ""прочие организации с громкими названиями""",2019-12-21T13:01:00.000Z
78242229,"Трамп одобрил законопроект о санкциях против российско-немецкого ""Северного потока-2"". Подрядчик приостановил укладку труб",2019-12-21T12:03:52.000Z
78242229,Дважды в неделю на небольшой кухне Катиной съемной квартиры собираются волонтеры и помогают готовить еду для нуждающихся.  Катя начала это дело летом а сейчас ее кухонька выдает больше 300 килограммов еды каждую неделю. Тех кто приходит к ней поесть становится все больше и через год девушка планирует открыть столовую для раздачи бесплатной пищи. Переживает только чтобы власти не помешали.  Зачем Катя кормит незнакомых людей кто ей в этом помогает и кто приходит к ней поесть:,2019-12-21T11:01:00.000Z
78242229,"""Очень трудно найти большого начальника реально большого начальника который не был бы сотрудником ФСБ который не закончил бы Высшую школу КГБ который бы как-то с ними не сотрудничал"".  Почему КГБ даже мечтать не мог о таком положении в политической системе страны какое есть у ФСБ рассказывает политик Леонид Гозман",2019-12-21T09:01:00.000Z
78242229,Ракетный крейсер “Украина” – уникальный в своём роде. Он ни разу не выходил в открытое море. Его спустили на воду в 1990 году и с того момента находится на территории Николаевского судостроительного завода.  Его много раз пытались достроить трижды формировали и распускали экипажи. Даже готовы были отдать “Украину” России даром. Но уже почти 30 лет его пытаются содержать на плаву работники заводаhttps://www.currenttime.tv/a/in-ukraine/30328172.html,2019-12-21T08:01:00.000Z
78242229,Все новости на 7:40.- Умер второй сотрудник ФСБ раненный на Лубянке СКР подтвердил фамилию стрелка – Евгений Манюров.- Союз России и Беларуси по итогам переговоров в Петербурге пока не сложился: по официальной информации мешают налоги нефть и газ.- Россия и Украина окончательно договорились о транзите газа.- Палата представителей Конгресса США не собирается передавать официальные документы об импичменте в Сенат пока там не согласуют порядок проведения судебных слушаний.- Палата общин парламента Великобритании одобрила законопроект о брекзите во втором чтении.Подписывайтесь на утреннюю рассылку 7:40 здесь: https://www.currenttime.tv/a/signup-740/29265570.html,2019-12-21T07:01:00.000Z
78242229,Елена выхаживает бездомных собак и кошек и ищет для них новый дом. Она работает маляром и спасение животных забирает у нее много времени и сил но Елена говорит что не может бросить животных в беде,2019-12-21T06:01:00.000Z
78242229,"Киев и Москва сообщили о договоренностях относительно транзита российского газа через территорию Украины для европейских потребителей. Подробностей пока нет.  Переговоры проходили на спортивно-стрелковой базе ""Сябры"" под Минском в атмосфере секретности. Брифинг для прессы по их итогам был отменен",2019-12-20T21:17:46.000Z
78242229,"""Не спросив у народа не спросив у людей"" – в Минске опять протестовали против белорусско-российских переговоров по ""углубленной интеграции"". В акции участвовали более 1500 человек нескольких активистов накануне задержала милиция https://www.currenttime.tv/a/30336343.html",2019-12-20T20:03:09.000Z
78242229,С момента возникновения органы безопасности России обладали особыми полномочиями. Когда в 1917 году был образована Чрезвычайная комиссия по борьбе с контрреволюцией и саботажем чекисты получили право расстреливать спекулянтов агитаторов германских шпионов и просто хулиганов прямо на месте преступления. Что известно о сегодняшней Федеральной службе безопасности,2019-12-20T19:16:42.000Z
78242229,Тридцать лет назад в Румынии начались антикоммунистические протесты которые стали самыми кровопролитными в Европе – в течение двух недель погибли около 1200 человек. Митинги привели к падению режима Чаушеску и казни президента.  С чего все начиналось и что о событиях того времени рассказывают их участники – смотрите в документальном фильме “Время Ч”: https://www.currenttime.tv/a/romania-revolution-timisoara/30328669.html,2019-12-20T16:20:00.000Z
78242229,"В больнице скончался второй сотрудник ФСБ раненый вчера во время стрельбы на Лубянке. Следственный комитет официально подтвердил имя стрелка назвав его ""39-летним жителем Подмосковья Минюровым""",2019-12-20T15:44:08.000Z
78242229,"Грузинского врача в Южной Осетии приговорили к 1 году и 9 месяцам заключения – его обвинили в незаконном пересечении ""границы"" самопровозглашенной республики. Он шел к травмированной пациентке которую власти Южной Осетии отказались транспортировать в больницу в Тбилиси",2019-12-20T15:03:33.000Z
78242229,“На хрена нужен кому такой союз?” Объясняем что такое “углубленная интеграция” Беларуси и России и кому она нужна,2019-12-20T14:07:03.000Z
78242229,В России уроженца Таджикистана приговорили к 22 годам тюрьмы за попытку теракта в поезде “Сапсан” в 2017 году,2019-12-20T13:01:00.000Z
78242229,В Грузии 15-летний подросток покончил с собой после многочасового допроса в полиции. Его смерть спровоцировала новую волну антиправительственных протестов – активисты требуют наказать виновных в смерти и отставки министра внутренних дел,2019-12-20T12:01:00.000Z
78242229,Президент Казахстана объявил что страна планирует отменить смертную казнь. С 1991 года в стране было приведено в исполнение 536 смертных приговоров,2019-12-20T11:13:07.000Z
78242229,“Давай лупанем сверху ему”. Более 20 лет назад в небе над Беларусью вертолет сбил воздушный шар. В корзине были известные воздухоплаватели из США. Один из них прошел Вторую мировую войну выжил во Вьетнаме и в Египте.  Родственники погибших передали нам материалы о гибели американских аэронавтов которые прежде не публиковались:,2019-12-20T09:55:55.000Z
78242229,Полицию хотят наделить правом временно изымать детей из семьи если им угрожает опасность. Сейчас такими полномочиями обладают только органы опеки,2019-12-20T08:31:00.000Z
78242229,СМИ сообщили подробности о стрелявшем у здания ФСБ в Москве – 39-летний житель Подмосковья работал охранником в посольстве Объединенных Арабских Эмиратов а также был членом стрелкового клуба,2019-12-20T07:37:35.000Z
78242229,"Летом 2018 года на заводе ""Крымский Титан"" в Крыму произошли масштабные выбросы химикатов которыми отравились несколько тысяч человек. В поисках собственников предприятия мы тогда выяснили что завод принадлежит украинскому миллиардеру Дмитрию Фирташу через цепочку компаний в том числе европейских. Это нарушает санкции ЕС. После нашего расследования Совет нацбезопасности Украины пообещал ввести санкции против упомянутых компаний.  Что произошло дальше – читайте в нашем новом расследовании:",2019-12-20T06:16:00.000Z
